name	version	source	checksum
r-efi	6.0.0	registry+https://github.com/rust-lang/crates.io-index	f8dcc9c7d52a811697d2151c701e0d08956f92b0e24136cf4cf27b57a6a0d9bf
rand	0.8.6	registry+https://github.com/rust-lang/crates.io-index	5ca0ecfa931c29007047d1bc58e623ab12e5590e8c7cc53200d5202b69266d8a
rand_chacha	0.3.1	registry+https://github.com/rust-lang/crates.io-index	e6c10a63a0fa32252be49d21e7709d4d4baf8d231c2dbce1eaa8141b9b127d88
rand_core	0.6.4	registry+https://github.com/rust-lang/crates.io-index	ec0be4795e2f6a28069bec0b5ff3e2ac9bafc99e6a9a7dc3547996c5c816922c
rayon	1.12.0	registry+https://github.com/rust-lang/crates.io-index	fb39b166781f92d482534ef4b4b1b2568f42613b53e5b6c160e24cfbfa30926d
rayon-core	1.13.0	registry+https://github.com/rust-lang/crates.io-index	22e18b0f0062d30d4230b2e85ff77fdfe4326feb054b9783a3460d8435c8ab91
regex-automata	0.4.14	registry+https://github.com/rust-lang/crates.io-index	6e1dd4122fc1595e8162618945476892eefca7b88c52820e74af6262213cae8f
regex-syntax	0.8.10	registry+https://github.com/rust-lang/crates.io-index	dc897dd8d9e8bd1ed8cdad82b5966c3e0ecae09fb1907d58efaa013543185d0a
ring	0.17.14	registry+https://github.com/rust-lang/crates.io-index	a4689e6c2294d81e88dc6261c768b63bc4fcdb852be6d1352498b114f61383b7
rustc_version	0.4.1	registry+https://github.com/rust-lang/crates.io-index	cfcb3a22ef46e85b45de6ee7e79d063319ebb6594faafcf1c225ea92ab6e9b92
rustix	1.1.4	registry+https://github.com/rust-lang/crates.io-index	b6fe4565b9518b83ef4f91bb47ce29620ca828bd32cb7e408f0062e9930ba190
rustls	0.23.40	registry+https://github.com/rust-lang/crates.io-index	ef86cd5876211988985292b91c96a8f2d298df24e75989a43a3c73f2d4d8168b
rustls-pki-types	1.14.1	registry+https://github.com/rust-lang/crates.io-index	30a7197ae7eb376e574fe940d068c30fe0462554a3ddbe4eca7838e049c937a9
rustls-webpki	0.103.13	registry+https://github.com/rust-lang/crates.io-index	61c429a8649f110dddef65e2a5ad240f747e85f7758a6bccc7e5777bd33f756e
rustversion	1.0.22	registry+https://github.com/rust-lang/crates.io-index	b39cdef0fa800fc44525c84ccb54a029961a8215f9619753635a9c0d2538d46d
ryu	1.0.23	registry+https://github.com/rust-lang/crates.io-index	9774ba4a74de5f7b1c1451ed6cd5285a32eddb5cccb8cc655a4e50009e06477f
semver	1.0.28	registry+https://github.com/rust-lang/crates.io-index	8a7852d02fc848982e0c167ef163aaff9cd91dc640ba85e263cb1ce46fae51cd
serde	1.0.228	registry+https://github.com/rust-lang/crates.io-index	9a8e94ea7f378bd32cbbd37198a4a91436180c5bb472411e48b5ec2e2124ae9e
serde_core	1.0.228	registry+https://github.com/rust-lang/crates.io-index	41d385c7d4ca58e59fc732af25c3983b67ac852c1a25000afe1175de458b67ad
serde_derive	1.0.228	registry+https://github.com/rust-lang/crates.io-index	d540f220d3187173da220f885ab66608367b6574e925011a9353e4badda91d79
serde_json	1.0.150	registry+https://github.com/rust-lang/crates.io-index	e8014e44b4736ed0538adeecded0fce2a272f22dc9578a7eb6b2d9993c74cfb9
serde_path_to_error	0.1.20	registry+https://github.com/rust-lang/crates.io-index	10a9ff822e371bb5403e391ecd83e182e0e77ba7f6fe0160b795797109d1b457
serde_repr	0.1.20	registry+https://github.com/rust-lang/crates.io-index	175ee3e80ae9982737ca543e96133087cbd9a485eecc3bc4de9c1a37b47ea59c
serde_spanned	1.1.1	registry+https://github.com/rust-lang/crates.io-index	6662b5879511e06e8999a8a235d848113e942c9124f211511b16466ee2995f26
serde_urlencoded	0.7.1	registry+https://github.com/rust-lang/crates.io-index	d3491c14715ca2294c4d6a88f15e84739788c1d030eed8c110436aafdaa2f3fd
sha2	0.10.9	registry+https://github.com/rust-lang/crates.io-index	a7507d819769d01a365ab707794a4084392c824f54a7a6a7862f8c3d0892b283
sharded-slab	0.1.7	registry+https://github.com/rust-lang/crates.io-index	f40ca3c46823713e0d4209592e8d6e826aa57e928f09752619fc696c499637f6
shlex	2.0.1	registry+https://github.com/rust-lang/crates.io-index	f8fadd59c855ef2080decdef8ff161eb6661b86933c9d82e5ba29dc602a55aba
signal-hook-registry	1.4.8	registry+https://github.com/rust-lang/crates.io-index	c4db69cba1110affc0e9f7bcd48bbf87b3f4fc7c61fc9155afd4c469eb3d6c1b
slab	0.4.12	registry+https://github.com/rust-lang/crates.io-index	0c790de23124f9ab44544d7ac05d60440adc586479ce501c1d6d7da3cd8c9cf5
smallvec	1.15.1	registry+https://github.com/rust-lang/crates.io-index	67b1b7a3b5fe4f1376887184045fcf45c69e92af734b7aaddc05fb777b6fbd03
socket2	0.6.4	registry+https://github.com/rust-lang/crates.io-index	52d1cfed4120b4d927bf7c0f86d2087a4a7d6027c906d9f9d525a80573b9be51
stable_deref_trait	1.2.1	registry+https://github.com/rust-lang/crates.io-index	6ce2be8dc25455e1f91df71bfa12ad37d7af1092ae736f3a6cd0e37bc7810596
subtle	2.6.1	registry+https://github.com/rust-lang/crates.io-index	13c2bddecc57b384dee18652358fb23172facb8a2c51ccc10d74c157bdea3292
syn	2.0.117	registry+https://github.com/rust-lang/crates.io-index	e665b8803e7b1d2a727f4023456bbbbe74da67099c585258af0ad9c5013b9b99
sync_wrapper	1.0.2	registry+https://github.com/rust-lang/crates.io-index	0bf256ce5efdfa370213c1dabab5935a12e49f2c58d15e9eac2870d3b4f27263
synstructure	0.13.2	registry+https://github.com/rust-lang/crates.io-index	728a70f3dbaf5bab7f0c4b1ac8d7ae5ea60a4b5549c8a5914361c99147a709d2
sysinfo	0.33.1	registry+https://github.com/rust-lang/crates.io-index	4fc858248ea01b66f19d8e8a6d55f41deaf91e9d495246fd01368d99935c6c01
system-deps	7.0.8	registry+https://github.com/rust-lang/crates.io-index	396a35feb67335377e0251fcbc1092fc85c484bd4e3a7a54319399da127796e7
target-lexicon	0.13.5	registry+https://github.com/rust-lang/crates.io-index	adb6935a6f5c20170eeceb1a3835a49e12e19d792f6dd344ccc76a985ca5a6ca
tempfile	3.27.0	registry+https://github.com/rust-lang/crates.io-index	32497e9a4c7b38532efcdebeef879707aa9f794296a4f0244f6f69e9bc8574bd
thread_local	1.1.9	registry+https://github.com/rust-lang/crates.io-index	f60246a4944f24f6e018aa17cdeffb7818b76356965d03b07d6a9886e8962185
tinystr	0.8.3	registry+https://github.com/rust-lang/crates.io-index	c8323304221c2a851516f22236c5722a72eaa19749016521d6dff0824447d96d
tokio	1.52.3	registry+https://github.com/rust-lang/crates.io-index	8fc7f01b389ac15039e4dc9531aa973a135d7a4135281b12d7c1bc79fd57fffe
tokio-macros	2.7.0	registry+https://github.com/rust-lang/crates.io-index	385a6cb71ab9ab790c5fe8d67f1645e6c450a7ce006a33de03daa956cf70a496
toml	1.1.2+spec-1.1.0	registry+https://github.com/rust-lang/crates.io-index	81f3d15e84cbcd896376e6730314d59fb5a87f31e4b038454184435cd57defee
toml_datetime	1.1.1+spec-1.1.0	registry+https://github.com/rust-lang/crates.io-index	3165f65f62e28e0115a00b2ebdd37eb6f3b641855f9d636d3cd4103767159ad7
toml_edit	0.25.12+spec-1.1.0	registry+https://github.com/rust-lang/crates.io-index	d2153edc6955a6c354fad8f5efd38b6a8769bdccf9fe50f8e1329f81b0baa5d7
toml_parser	1.1.2+spec-1.1.0	registry+https://github.com/rust-lang/crates.io-index	a2abe9b86193656635d2411dc43050282ca48aa31c2451210f4202550afb7526
toml_writer	1.1.1+spec-1.1.0	registry+https://github.com/rust-lang/crates.io-index	756daf9b1013ebe47a8776667b466417e2d4c5679d441c26230efd9ef78692db
