name	version_release	arch	license
libavcodec-free	8.1.2-1.fc44	x86_64	GPL-3.0-or-later
libavdevice-free	8.1.2-1.fc44	x86_64	GPL-3.0-or-later
libavfilter-free	8.1.2-1.fc44	x86_64	GPL-3.0-or-later
libavformat-free	8.1.2-1.fc44	x86_64	GPL-3.0-or-later
libavif	1.3.0-4.fc44	x86_64	BSD-2-Clause AND IJG AND Apache-2.0 AND BSD-3-Clause
libavutil-free	8.1.2-1.fc44	x86_64	GPL-3.0-or-later
libbabeltrace	1.5.11-17.fc44	x86_64	MIT AND GPL-3.0-or-later WITH Bison-exception-2.2 AND LGPL-2.1-only AND BSD-4-Clause-UC
libbasicobjects	0.1.1-61.fc44	x86_64	GPL-3.0-or-later
libblkid	2.41.5-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev-btrfs	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev-crypto	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev-dm	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev-fs	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev-loop	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev-lvm	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev-lvm-dbus	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev-mdraid	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev-mpath	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
