name	version_release	arch	license
libblockdev-nvdimm	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev-nvme	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev-part	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev-plugins-all	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev-smart	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev-smartmontools	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev-swap	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev-tools	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libblockdev-utils	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
libbluray	1.4.0-3.fc44	x86_64	LGPL-2.0-or-later
libbpf	1.6.3-2.fc44	x86_64	LGPL-2.1-only OR BSD-2-Clause
libbrotli	1.2.0-3.fc44	x86_64	MIT
libbs2b	3.1.0-37.fc44	x86_64	MIT
libbsd	0.12.2-7.fc44	x86_64	Beerware AND BSD-2-Clause AND BSD-3-Clause AND ISC AND libutil-David-Nugent AND MIT AND LicenseRef-Fedora-Public-Domain
libbtrfs	7.0-1.fc44	x86_64	GPL-2.0-only
libbtrfsutil	7.0-1.fc44	x86_64	LGPL-2.1-or-later
libbytesize	2.12-2.fc44	x86_64	LGPL-2.1-or-later
libcaca	0.99-0.82.beta20.fc44	x86_64	WTFPL
libcanberra	0.30-39.fc44	x86_64	LGPL-2.1-or-later
libcanberra-gtk3	0.30-39.fc44	x86_64	LGPL-2.1-or-later
libcap	2.78-1.fc44	x86_64	BSD-3-Clause OR GPL-2.0-only
libcap-ng	0.9.3-1.fc44	x86_64	LGPL-2.0-or-later
libcbor	0.13.0-2.fc44	x86_64	MIT
libcdio	2.3.0-1.fc44	x86_64	GPL-3.0-or-later AND BSD-2-Clause AND LGPL-2.1-or-later
libcdio-paranoia	10.2+2.0.2-6.fc44	x86_64	GPL-3.0-or-later
libchromaprint	1.6.0-4.fc44	x86_64	GPL-2.0-or-later
libcloudproviders	0.4.0-1.fc44	x86_64	LGPL-3.0-or-later
libcollection	0.7.0-61.fc44	x86_64	LGPL-3.0-or-later
libcom_err	1.47.3-4.fc44	x86_64	MIT
libcomps	0.1.24-1.fc44	x86_64	GPL-2.0-or-later
libconfig	1.8.2-2.fc44	x86_64	LGPL-2.1-or-later AND GPL-3.0-or-later WITH Bison-exception-2.2
libcue	2.3.0-14.fc44	x86_64	GPL-2.0-only AND BSD-2-Clause
libcurl	8.18.0-6.fc44	x86_64	curl
libdaemon	0.14-33.fc44	x86_64	LGPL-2.1-or-later
libdatrie	0.2.14-2.fc44	x86_64	LGPL-2.1-or-later
libdav1d	1.5.3-1.fc44	x86_64	BSD-2-Clause AND ISC
libdb	5.3.28-67.fc44	x86_64	BSD-3-Clause AND LGPL-2.1-only AND Sleepycat
libdbusmenu	16.04.0-31.fc44	x86_64	(LGPL-3.0-only OR LGPL-2.1-only) AND GPL-3.0-only
libdbusmenu-gtk3	16.04.0-31.fc44	x86_64	(LGPL-3.0-only OR LGPL-2.1-only) AND GPL-3.0-only
libdc1394	2.2.7-9.fc44	x86_64	LGPL-2.0-or-later
libdecor	0.2.5-2.fc44	x86_64	MIT
libdhash	0.5.0-61.fc44	x86_64	LGPL-3.0-or-later
libdisplay-info	0.3.0-1.fc44	x86_64	MIT
libdnf	0.75.0-2.fc44	x86_64	LGPL-2.1-or-later
libdnf5	5.4.2.1-1.fc44	x86_64	LGPL-2.1-or-later
libdnf5-cli	5.4.2.1-1.fc44	x86_64	LGPL-2.1-or-later
libdnf5-plugin-appstream	5.4.2.1-1.fc44	x86_64	LGPL-2.1-or-later
libdnf5-plugin-expired-pgp-keys	5.4.2.1-1.fc44	x86_64	LGPL-2.1-or-later
libdovi	3.3.2-3.fc44	x86_64	MIT AND (Apache-2.0 OR MIT) AND (Unlicense OR MIT) AND (Zlib OR Apache-2.0 OR MIT)
libdrm	2.4.134-1.fc44	x86_64	MIT
libdvdnav	7.0.0-1.fc44	x86_64	GPL-2.0-or-later AND LGPL-2.1-or-later
libdvdread	7.0.1-1.fc44	x86_64	GPL-2.0-or-later AND LGPL-2.1-or-later AND (GPL-2.0-only OR GPL-3.0-only) AND LicenseRef-Fedora-Public-Domain
libebur128	1.2.6-15.fc44	x86_64	MIT
libeconf	0.7.9-3.fc44	x86_64	MIT
libedit	3.1-59.20260512cvs.fc44	x86_64	BSD-3-Clause AND BSD-2-Clause AND ISC
libei	1.5.0-2.fc44	x86_64	MIT
libeis	1.5.0-2.fc44	x86_64	MIT
libepoxy	1.5.10-12.fc44	x86_64	MIT
libev	4.33-15.fc44	x86_64	BSD-2-Clause OR GPL-2.0-or-later
libevdev	1.13.6-2.fc44	x86_64	MIT
libevent	2.1.12-17.fc44	x86_64	BSD-3-Clause AND ISC AND LicenseRef-Fedora-Public-Domain
libfdisk	2.41.5-1.fc44	x86_64	LGPL-2.1-or-later
libffado	2.4.9-10.fc44	x86_64	GPL-2.0-only OR GPL-3.0-only
libffi	3.5.2-2.fc44	x86_64	MIT AND CC-PDDC AND (GPL-3.0-or-later WITH Texinfo-exception)
libfido2	1.16.0-5.fc44	x86_64	BSD-2-Clause
libfontenc	1.1.8-5.fc44	x86_64	MIT
libfprint	1.94.10-5.fc44	x86_64	LGPL-2.1-or-later AND NIST-PD
libfsverity	1.6-4.fc44	x86_64	LicenseRef-Callaway-BSD
libfyaml	0.8-9.fc44	x86_64	MIT and GPL-2.0-only and BSD-2-Clause
libgcc	16.1.1-2.fc44	x86_64	GPL-3.0-or-later AND LGPL-3.0-or-later AND (GPL-3.0-or-later WITH GCC-exception-3.1) AND (GPL-3.0-or-later WITH Texinfo-exception) AND (LGPL-2.1-or-later WITH GCC-exception-2.0) AND (GPL-2.0-or-later WITH GCC-exception-2.0) AND (GPL-2.0-or-later WITH GNU-compiler-exception) AND BSL-1.0 AND GFDL-1.3-or-later AND Linux-man-pages-copyleft-2-para AND SunPro AND BSD-1-Clause AND BSD-2-Clause AND BSD-2-Clause-Views AND BSD-3-Clause AND BSD-4-Clause AND BSD-Source-Code AND Zlib AND MIT AND Apache-2.0 AND (Apache-2.0 WITH LLVM-Exception) AND ZPL-2.1 AND ISC AND LicenseRef-Fedora-Public-Domain AND HP-1986 AND curl AND Martin-Birgmeier AND HPND-Markus-Kuhn AND dtoa AND SMLNJ AND AMD-newlib AND OAR AND HPND-merchantability-variant AND HPND-Intel
libgcrypt	1.12.2-1.fc44	x86_64	BSD-3-Clause AND (BSD-3-Clause OR GPL-2.0-only) AND GPL-2.0-or-later AND LGPL-2.1-or-later AND LGPL-2.0-or-later AND MIT-Modern-Variant
libgexiv2	0.16.1-1.fc44	x86_64	GPL-2.0-or-later
libglvnd	1.7.0-9.fc44	x86_64	MIT-feh AND MIT-Modern-Variant AND BSD-1-Clause AND BSD-3-Clause AND GPL-3.0-or-later WITH Autoconf-exception-macro
libglvnd-egl	1.7.0-9.fc44	x86_64	MIT-feh AND MIT-Modern-Variant AND BSD-1-Clause AND BSD-3-Clause AND GPL-3.0-or-later WITH Autoconf-exception-macro
libglvnd-gles	1.7.0-9.fc44	x86_64	MIT-feh AND MIT-Modern-Variant AND BSD-1-Clause AND BSD-3-Clause AND GPL-3.0-or-later WITH Autoconf-exception-macro
libglvnd-glx	1.7.0-9.fc44	x86_64	MIT-feh AND MIT-Modern-Variant AND BSD-1-Clause AND BSD-3-Clause AND GPL-3.0-or-later WITH Autoconf-exception-macro
libglvnd-opengl	1.7.0-9.fc44	x86_64	MIT-feh AND MIT-Modern-Variant AND BSD-1-Clause AND BSD-3-Clause AND GPL-3.0-or-later WITH Autoconf-exception-macro
libgomp	16.1.1-2.fc44	x86_64	GPL-3.0-or-later AND LGPL-3.0-or-later AND (GPL-3.0-or-later WITH GCC-exception-3.1) AND (GPL-3.0-or-later WITH Texinfo-exception) AND (LGPL-2.1-or-later WITH GCC-exception-2.0) AND (GPL-2.0-or-later WITH GCC-exception-2.0) AND (GPL-2.0-or-later WITH GNU-compiler-exception) AND BSL-1.0 AND GFDL-1.3-or-later AND Linux-man-pages-copyleft-2-para AND SunPro AND BSD-1-Clause AND BSD-2-Clause AND BSD-2-Clause-Views AND BSD-3-Clause AND BSD-4-Clause AND BSD-Source-Code AND Zlib AND MIT AND Apache-2.0 AND (Apache-2.0 WITH LLVM-Exception) AND ZPL-2.1 AND ISC AND LicenseRef-Fedora-Public-Domain AND HP-1986 AND curl AND Martin-Birgmeier AND HPND-Markus-Kuhn AND dtoa AND SMLNJ AND AMD-newlib AND OAR AND HPND-merchantability-variant AND HPND-Intel
libgpg-error	1.58-2.fc44	x86_64	LGPL-2.1-or-later AND (BSD-3-Clause OR LGPL-2.1-or-later) AND FSFULLR AND GPL-2.0-or-later
libgs	10.06.0-2.fc44	x86_64	AGPL-3.0-or-later
libgsf	1.14.58-1.fc44	x86_64	LGPL-2.1-only
libgtop2	2.41.3-5.fc44	x86_64	GPL-2.0-or-later
libgudev	238-9.fc44	x86_64	LGPL-2.1-or-later
libgusb	0.4.9-5.fc44	x86_64	LGPL-2.1-or-later
libgweather	4.6.0-1.fc44	x86_64	GPL-2.0-or-later AND BSD-3-Clause
libgxps	0.3.2-12.fc44	x86_64	LGPL-2.1-or-later
libhandy	1.8.3-10.fc44	x86_64	LGPL-2.1-or-later
libhangul	0.2.0-3.fc44	x86_64	LGPL-2.1-or-later
libheif	1.21.2-1.fc44	x86_64	LGPL-3.0-or-later and MIT
libibverbs	61.0-2.fc44	x86_64	GPL-2.0-only OR BSD-2-Clause AND BSD-3-Clause
libical	3.0.20-7.fc44	x86_64	LGPL-2.1-only OR MPL-2.0
libical-glib	3.0.20-7.fc44	x86_64	LGPL-2.1-only OR MPL-2.0
libicu	77.1-3.fc44	x86_64	Unicode-DFS-2016 AND BSD-2-Clause AND BSD-3-Clause AND NAIST-2003 AND LicenseRef-Fedora-Public-Domain
libidn2	2.3.8-3.fc44	x86_64	(GPL-2.0-or-later OR LGPL-3.0-or-later) AND GPL-3.0-or-later
libiec61883	1.2.0-39.fc44	x86_64	LicenseRef-Callaway-LGPLv2+
libijs	0.35-26.fc44	x86_64	AGPL-3.0-or-later
libimobiledevice	1.4.0-3.fc44	x86_64	LGPL-2.0-or-later AND MIT AND Zlib
libimobiledevice-glue	1.3.2-1.fc44	x86_64	LGPL-2.1-or-later
libini_config	1.3.1-61.fc44	x86_64	LGPL-3.0-or-later
libinput	1.31.3-1.fc44	x86_64	MIT
libipa_hbac	2.13.1-1.fc44	x86_64	LGPL-3.0-or-later
libipt	2.1.2-4.fc44	x86_64	BSD-3-Clause
libjose	14-6.fc44	x86_64	Apache-2.0
libjpeg-turbo	3.1.3-1.fc44	x86_64	Zlib AND BSD-3-Clause AND MIT AND IJG
libjxl	0.11.2-1.fc44	x86_64	BSD-3-Clause AND Apache-2.0 AND Zlib
libkcapi	1.5.0-7.fc44	x86_64	BSD-3-Clause OR GPL-2.0-only
libkcapi-hasher	1.5.0-7.fc44	x86_64	BSD-3-Clause OR GPL-2.0-only
libkcapi-hmaccalc	1.5.0-7.fc44	x86_64	BSD-3-Clause OR GPL-2.0-only
libksba	1.6.7-5.fc44	x86_64	GPL-3.0-or-later AND LGPL-2.1-or-later AND (LGPL-3.0-or-later OR GPL-2.0-or-later)
liblastlog2	2.41.5-1.fc44	x86_64	BSD-2-Clause
liblc3	1.1.3-7.fc44	x86_64	Apache-2.0
libldac	2.0.2.3-19.fc44	x86_64	Apache-2.0
libldb	4.24.3-1.fc44	x86_64	LGPL-3.0-or-later
liblerc	4.0.0-10.fc44	x86_64	Apache-2.0
libliftoff	0.5.0-5.fc44	x86_64	MIT
liblouis	3.33.0-7.fc44	x86_64	LGPL-2.1-or-later AND LGPL-2.0-or-later
liblouis-tables	3.33.0-7.fc44	noarch	LGPL-2.1-or-later AND LGPL-3.0-or-later
libluksmeta	10-2.fc44	x86_64	LGPL-2.1-or-later
libmanette	0.2.13-2.fc44	x86_64	LGPL-2.1-or-later
libmaxminddb	1.13.3-1.fc44	x86_64	Apache-2.0 AND BSD-3-Clause
libmbim	1.32.0-3.fc44	x86_64	LGPL-2.1-or-later
libmd	1.2.0-1.fc44	x86_64	BSD-2-Clause AND BSD-3-Clause AND ISC AND Beerware AND LicenseRef-Fedora-Public-Domain
libmnl	1.0.5-9.fc44	x86_64	LGPL-2.1-or-later
libmodplug	0.8.9.0-29.fc44	x86_64	LicenseRef-Fedora-Public-Domain
libmodulemd	2.15.3-1.fc44	x86_64	MIT
libmount	2.41.5-1.fc44	x86_64	LGPL-2.1-or-later
libmysofa	1.3.3-4.fc44	x86_64	BSD-3-Clause
libndp	1.9-5.fc44	x86_64	LGPL-2.1-or-later
libnet	1.3-7.fc44	x86_64	BSD-2-Clause AND BSD-3-Clause
libnetfilter_conntrack	1.1.1-1.fc44	x86_64	GPL-2.0-or-later
libnfnetlink	1.0.1-32.fc44	x86_64	GPL-2.0-or-later
libnfsidmap	2.8.7-5.fc44	x86_64	BSD-3-Clause
libnftnl	1.3.1-2.fc44	x86_64	GPL-2.0-or-later
libnghttp2	1.68.0-4.fc44	x86_64	MIT
libnghttp3	1.16.0-1.fc44	x86_64	MIT
libnice	0.1.23-2.fc44	x86_64	LGPL-2.1-or-later OR MPL-1.1
libnl3	3.12.0-3.fc44	x86_64	LGPL-2.1-only
libnl3-cli	3.12.0-3.fc44	x86_64	LGPL-2.1-only
libnma	1.10.6-11.fc44	x86_64	GPL-2.0-or-later AND LGPL-2.1-or-later
libnma-common	1.10.6-11.fc44	noarch	GPL-2.0-or-later AND LGPL-2.1-or-later
libnma-gtk4	1.10.6-11.fc44	x86_64	GPL-2.0-or-later AND LGPL-2.1-or-later
libnotify	0.8.8-1.fc44	x86_64	LGPL-2.1-or-later
libnsl2	2.0.1-5.fc44	x86_64	BSD-3-Clause AND LGPL-2.1-or-later
libnvme	1.16.1-2.fc44	x86_64	LGPL-2.1-or-later
liboeffis	1.5.0-2.fc44	x86_64	MIT
libogg	1.3.6-2.fc44	x86_64	BSD-3-Clause
libopenjph	0.25.3-3.fc44	x86_64	BSD-2-Clause
libopenmpt	0.8.7-1.fc44	x86_64	BSD-3-Clause
libosinfo	1.12.0-5.fc44	x86_64	LGPL-2.1-or-later
libpaper	2.1.1-10.fc44	x86_64	LGPL-2.1-or-later AND LicenseRef-Fedora-Public-Domain AND GPL-3.0-or-later AND LGPL-2.0-or-later AND FSFAP
libpath_utils	0.2.1-61.fc44	x86_64	LGPL-3.0-or-later
libpcap	1.10.6-2.fc44	x86_64	ISC AND BSD-2-Clause AND BSD-3-Clause AND BSD-4-Clause-UC
libpciaccess	0.16-17.fc44	x86_64	HPND AND MIT
libphonenumber	8.13.55-9.fc44	x86_64	Apache-2.0 AND LicenseRef-Callaway-BSD AND LicenseRef-Callaway-MIT
libpinyin	2.11.91-2.fc44	x86_64	GPL-3.0-or-later
libpinyin-data	2.11.91-2.fc44	x86_64	GPL-3.0-or-later
libpipeline	1.5.8-4.fc44	x86_64	GPL-3.0-or-later
libpkgconf	2.5.1-1.fc44	x86_64	ISC AND BSD-4-Clause AND BSD-2-Clause AND pkgconf AND MIT
libplacebo	7.360.1-3.fc44	x86_64	LGPL-2.0-or-later
libplist	2.7.0-1.fc44	x86_64	LGPL-2.0-or-later
libpng	1.6.58-1.fc44	x86_64	zlib
libportal	0.10.0-1.fc44	x86_64	LGPL-3.0-only AND LGPL-2.1-or-later
libportal-gtk4	0.10.0-1.fc44	x86_64	LGPL-3.0-only AND LGPL-2.1-or-later
libproxy	0.5.12-2.fc44	x86_64	LGPL-2.1-or-later
libpsl	0.21.5-7.fc44	x86_64	MIT
libpwquality	1.4.5-15.fc44	x86_64	BSD-3-Clause OR GPL-2.0-or-later
libqmi	1.36.0-3.fc44	x86_64	LGPL-2.1-or-later
libqrtr-glib	1.2.2-9.fc44	x86_64	LGPL-2.1-or-later
librabbitmq	0.16.0-1.fc44	x86_64	MIT
libraw1394	2.1.2-25.fc44	x86_64	LicenseRef-Callaway-LGPLv2+
libref_array	0.1.5-61.fc44	x86_64	LGPL-3.0-or-later
librepo	1.20.0-5.fc44	x86_64	LGPL-2.1-or-later
libreport	2.17.15-10.fc44	x86_64	GPL-2.0-or-later
libreport-anaconda	2.17.15-10.fc44	x86_64	GPL-2.0-or-later
libreport-cli	2.17.15-10.fc44	x86_64	GPL-2.0-or-later
libreport-filesystem	2.17.15-10.fc44	noarch	GPL-2.0-or-later
libreport-gtk	2.17.15-10.fc44	x86_64	GPL-2.0-or-later
libreport-plugin-bugzilla	2.17.15-10.fc44	x86_64	GPL-2.0-or-later
libreport-plugin-reportuploader	2.17.15-10.fc44	x86_64	GPL-2.0-or-later
libreport-web	2.17.15-10.fc44	x86_64	GPL-2.0-or-later
librist	0.2.11-1.fc44	x86_64	BSD-2-Clause and ISC
librsvg2	2.62.3-1.fc44	x86_64	LGPL-2.1-or-later AND Apache-2.0 AND BSD-3-Clause AND MIT AND MPL-2.0 AND Unicode-3.0 AND Unicode-DFS-2016 AND (0BSD OR MIT OR Apache-2.0) AND (Apache-2.0 OR MIT) AND (BSD-3-Clause OR Apache-2.0) AND (MIT OR Apache-2.0 OR Zlib) AND (Unlicense OR MIT)
librsync	2.3.4-8.fc44	x86_64	LGPL-2.1-or-later
libsamplerate	0.2.2-12.fc44	x86_64	BSD-2-Clause
libsbc	2.1-2.fc44	x86_64	GPL-2.0-only AND LGPL-2.1-or-later
libseat	0.9.3-1.fc44	x86_64	MIT
libseccomp	2.6.0-3.fc44	x86_64	LGPL-2.1-only
libsecret	0.21.7-10.fc44	x86_64	LGPL-2.1-or-later AND Apache-2.0 AND (GPL-2.0-or-later OR TGPPL-1.0) AND LicenseRef-Fedora-Public-Domain AND GCR-docs
libselinux	3.10-1.fc44	x86_64	LicenseRef-Fedora-Public-Domain
libselinux-utils	3.10-1.fc44	x86_64	LicenseRef-Fedora-Public-Domain
libsemanage	3.10-1.fc44	x86_64	LGPL-2.1-or-later
libsepol	3.10-1.fc44	x86_64	LGPL-2.1-or-later
libshaderc	2026.1-1.fc44	x86_64	Apache-2.0
libshout	2.4.6-10.fc44	x86_64	LGPL-2.0-or-later
libsigc++20	2.12.2-1.fc44	x86_64	LGPL-2.1-or-later
libsigc++30	3.8.1-1.fc44	x86_64	LGPL-2.1-or-later
libsmartcols	2.41.5-1.fc44	x86_64	LGPL-2.1-or-later
libsmbclient	4.24.3-1.fc44	x86_64	GPL-3.0-or-later AND LGPL-3.0-or-later
libsndfile	1.2.2-11.fc44	x86_64	LGPL-2.1-or-later AND GPL-2.0-or-later AND BSD-3-Clause
libsodium	1.0.22-1.fc44	x86_64	ISC AND BSD-2-Clause AND CC0-1.0
libsolv	0.7.39-1.fc44	x86_64	BSD-3-Clause
libsoup3	3.6.6-8.fc44	x86_64	LGPL-2.0-or-later AND LGPL-2.1-or-later
libspectre	0.2.12-11.fc44	x86_64	GPL-2.0-or-later
libspelling	0.4.10-1.fc44	x86_64	LGPL-2.1-or-later
libss	1.47.3-4.fc44	x86_64	MIT
libssh	0.12.0-1.fc44	x86_64	LGPL-2.1-or-later
libssh-config	0.12.0-1.fc44	noarch	LGPL-2.1-or-later
libsss_certmap	2.13.1-1.fc44	x86_64	LGPL-3.0-or-later
libsss_idmap	2.13.1-1.fc44	x86_64	LGPL-3.0-or-later
libsss_nss_idmap	2.13.1-1.fc44	x86_64	LGPL-3.0-or-later
libsss_sudo	2.13.1-1.fc44	x86_64	LGPL-3.0-or-later
libstdc++	16.1.1-2.fc44	x86_64	GPL-3.0-or-later AND LGPL-3.0-or-later AND (GPL-3.0-or-later WITH GCC-exception-3.1) AND (GPL-3.0-or-later WITH Texinfo-exception) AND (LGPL-2.1-or-later WITH GCC-exception-2.0) AND (GPL-2.0-or-later WITH GCC-exception-2.0) AND (GPL-2.0-or-later WITH GNU-compiler-exception) AND BSL-1.0 AND GFDL-1.3-or-later AND Linux-man-pages-copyleft-2-para AND SunPro AND BSD-1-Clause AND BSD-2-Clause AND BSD-2-Clause-Views AND BSD-3-Clause AND BSD-4-Clause AND BSD-Source-Code AND Zlib AND MIT AND Apache-2.0 AND (Apache-2.0 WITH LLVM-Exception) AND ZPL-2.1 AND ISC AND LicenseRef-Fedora-Public-Domain AND HP-1986 AND curl AND Martin-Birgmeier AND HPND-Markus-Kuhn AND dtoa AND SMLNJ AND AMD-newlib AND OAR AND HPND-merchantability-variant AND HPND-Intel
libstemmer	3.0.1-11.fc44	x86_64	BSD-3-Clause
libswresample-free	8.1.2-1.fc44	x86_64	GPL-3.0-or-later
libswscale-free	8.1.2-1.fc44	x86_64	GPL-3.0-or-later
libtalloc	2.4.4-1.fc44	x86_64	LGPL-3.0-or-later
libtasn1	4.21.0-1.fc44	x86_64	GPL-3.0-or-later AND LGPL-2.1-or-later
libtdb	1.4.15-1.fc44	x86_64	LGPL-3.0-or-later
libteam	1.32-13.fc44	x86_64	LGPL-2.0-or-later
libtevent	0.17.1-4.fc44	x86_64	LGPL-3.0-or-later
libtextstyle	0.26-5.fc44	x86_64	GPL-3.0-or-later
libthai	0.1.30-2.fc44	x86_64	LGPL-2.1-or-later
libtheora	1.1.1-41.fc44	x86_64	BSD-3-Clause
libtiff	4.7.1-2.fc44	x86_64	libtiff
libtinysparql	3.11.1-1.fc44	x86_64	LGPL-2.1-or-later
libtirpc	1.3.7-2.fc44	x86_64	SISSL AND BSD-3-Clause
libtool-ltdl	2.5.4-10.fc44	x86_64	LGPLv2+
libudfread	1.2.0-3.fc44	x86_64	LGPL-2.0-or-later
libudisks2	2.11.1-2.fc44	x86_64	LGPL-2.0-or-later
libunibreak	6.1-5.fc44	x86_64	Zlib
libunistring	1.1-11.fc44	x86_64	GPL-2.0-or-later OR LGPL-3.0-or-later
libunwind	1.8.3-1.fc44	x86_64	MIT
libusb1	1.0.30-1.fc44	x86_64	LGPL-2.1-or-later
libusbmuxd	2.1.1-1.fc44	x86_64	LGPL-2.0-or-later AND GPL-2.0-or-later
libutempter	1.2.1-20.fc44	x86_64	LGPL-2.1-or-later AND LGPL-2.1-only AND BSD-2-Clause
libuuid	2.41.5-1.fc44	x86_64	BSD-3-Clause
libuv	1.51.0-3.fc44	x86_64	MIT AND CC-BY-4.0 AND ISC AND BSD-2-Clause
libv4l	1.32.0-3.fc44	x86_64	LGPL-2.1-or-later AND GPL-2.0-or-later AND IJG-short AND BSD-2-Clause
libva	2.23.0-3.fc44	x86_64	MIT AND HPND-sell-variant AND ICU
libva-utils	2.23.0-2.fc44	x86_64	LicenseRef-Callaway-MIT AND LicenseRef-Callaway-BSD
libvdpau	1.5-11.fc44	x86_64	MIT
libverto	0.3.2-12.fc44	x86_64	MIT
libverto-libev	0.3.2-12.fc44	x86_64	MIT
libvisual	0.4.2-4.fc44	x86_64	LGPL-2.1-or-later
libvmaf	3.0.0-5.fc44	x86_64	BSD-2-Clause-Patent
libvncserver	0.9.15-6.fc44	x86_64	GPL-2.0-or-later
libvorbis	1.3.7-14.fc44	x86_64	BSD-3-Clause
libvpl	2.16.0-2.fc44	x86_64	MIT
libvpx	1.15.0-5.fc44	x86_64	BSD-3-Clause
libwacom	2.19.0-1.fc44	x86_64	HPND
libwacom-data	2.19.0-1.fc44	noarch	HPND
libwayland-client	1.24.0-3.fc44	x86_64	MIT
libwayland-cursor	1.24.0-3.fc44	x86_64	MIT
libwayland-egl	1.24.0-3.fc44	x86_64	MIT
libwayland-server	1.24.0-3.fc44	x86_64	MIT
libwbclient	4.24.3-1.fc44	x86_64	GPL-3.0-or-later AND LGPL-3.0-or-later
libwebp	1.6.0-3.fc44	x86_64	Apache-2.0 AND BSD-3-Clause WITH AdditionRef-WebM-patent-license AND BSD-3-Clause AND FSFULLRWD
libwinpr	3.27.1-1.fc44	x86_64	Apache-2.0 AND HPND AND LGPL-2.1-or-later AND LicenseRef-Fedora-Public-Domain AND OFL-1.1
libxcb	1.17.0-7.fc44	x86_64	X11
libxcrypt	4.5.2-3.fc44	x86_64	LGPL-2.1-or-later AND BSD-3-Clause AND BSD-2-Clause AND BSD-2-Clause-FreeBSD AND 0BSD AND CC0-1.0 AND LicenseRef-Fedora-Public-Domain
libxcvt	0.1.2-11.fc44	x86_64	MIT AND HPND-sell-variant
libxkbcommon	1.13.1-2.fc44	x86_64	MIT AND X11 AND MIT-CMU
libxkbfile	1.1.3-5.fc44	x86_64	MIT-open-group AND HPND AND SMLNJ
libxml++	2.42.3-8.fc44	x86_64	LGPL-2.1-or-later
libxml2	2.12.10-6.fc44	x86_64	MIT AND ISC-Veillard AND W3C
libxmlb	0.3.28-1.fc44	x86_64	LGPL-2.1-or-later
libxshmfence	1.3.2-8.fc44	x86_64	HPND-sell-variant
libxslt	1.1.43-6.fc44	x86_64	MIT
libyaml	0.2.5-18.fc44	x86_64	MIT
libyuv	0-0.61.20260213git6067afd.fc44	x86_64	BSD-3-Clause
libzip	1.11.4-3.fc44	x86_64	BSD-3-Clause
libzstd	1.5.7-5.fc44	x86_64	BSD-3-Clause OR GPL-2.0-only
lilv-libs	0.26.4-1.fc44	x86_64	MIT
linux-firmware	20260622-1.fc44	noarch	GPL-1.0-or-later AND GPL-2.0-or-later AND MIT AND LicenseRef-Callaway-Redistributable-no-modification-permitted
linux-firmware-whence	20260622-1.fc44	noarch	GPL-1.0-or-later AND GPL-2.0-or-later AND MIT AND LicenseRef-Callaway-Redistributable-no-modification-permitted
lldpad	1.1.0-16.git85e5583.fc44	x86_64	GPL-2.0-only
llvm-filesystem	22.1.8-1.fc44	x86_64	Apache-2.0 WITH LLVM-exception OR NCSA
llvm-libs	22.1.8-1.fc44	x86_64	Apache-2.0 WITH LLVM-exception OR NCSA
lm_sensors-libs	3.6.0-24.fc44	x86_64	LGPL-2.1-or-later
lmdb-libs	0.9.34-2.fc44	x86_64	OLDAP-2.8
localsearch	3.11.1-1.fc44	x86_64	GPL-2.0-or-later AND LGPL-2.1-or-later
logrotate	3.22.0-5.fc44	x86_64	GPL-2.0-or-later
loupe	50.0-1.fc44	x86_64	GPL-3.0-or-later AND BSD-3-Clause AND ISC AND MIT AND Unicode-3.0 AND Unicode-DFS-2016 AND (Apache-2.0 OR MIT) AND (Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT) AND (BSD-2-Clause OR Apache-2.0 OR MIT) AND (MIT OR Zlib OR Apache-2.0) AND (MPL-2.0 OR LGPL-2.1-or-later) AND (Unlicense OR MIT)
lpcnetfreedv	0.5-10.fc44	x86_64	LicenseRef-Callaway-BSD
lsof	4.98.0-9.fc44	x86_64	lsof
lua-libs	5.4.8-5.fc44	x86_64	MIT
luajit	2.1.1767980792-1.fc44	x86_64	MIT
luksmeta	10-2.fc44	x86_64	LGPL-2.1-or-later
lvm2	2.03.38-2.fc44	x86_64	GPL-2.0-only
lvm2-dbusd	2.03.38-2.fc44	noarch	GPL-2.0-only
lvm2-libs	2.03.38-2.fc44	x86_64	LGPL-2.1-only
lz4-libs	1.10.0-4.fc44	x86_64	GPL-2.0-or-later AND BSD-2-Clause
lzo	2.10-16.fc44	x86_64	gpl-2.0-or-later
makedumpfile	1.7.9-1.fc44	x86_64	GPL-2.0-only
malcontent	0.14.0-1.fc44	x86_64	LGPL-2.1-only AND CC-BY-3.0
malcontent-libs	0.14.0-1.fc44	x86_64	LGPL-2.1-only AND CC-BY-3.0
man-db	2.13.1-3.fc44	x86_64	GPL-2.0-or-later AND GPL-3.0-or-later
mangohud	0.8.3~rc1-2.fc44	x86_64	MIT
mdadm	4.3-11.fc44	x86_64	GPL-2.0-or-later
memstrack	0.2.5-8.fc44	x86_64	GPL-3.0-only
